A,B,OUT
-124,-29,3310
-124,-28,3054
-124,-27,3054
-124,-26,3054
-124,-25,3054
-124,-24,2285
-124,-23,2285
-124,-22,2285
-124,-21,2285
-124,-20,1997
-124,-19,1997
-124,-18,1997
-124,-17,1997
-124,-16,1239
-124,-15,1239
-124,-14,1239
-124,-13,1239
-124,-12,983
-124,-11,983
-124,-10,983
-124,-9,983
-124,-8,213
-124,-7,213
-124,-6,213
-124,-5,213
-124,-4,-11
-124,-3,-11
-124,-2,-11
-124,-1,-11
-124,0,-262
-124,1,-262
-124,2,-262
-124,3,-262
-124,4,-518
-124,5,-518
-124,6,-518
-124,7,-518
-124,8,-1288
-124,9,-1288
-124,10,-1288
-124,11,-1288
-124,12,-1544
-124,13,-1544
-124,14,-1544
-124,15,-1544
-124,16,-2350
-124,17,-2350
-124,18,-2350
-124,19,-2350
-124,20,-2606
-124,21,-2606
-124,22,-2606
-124,23,-2606
-124,24,-3375
-124,25,-3375
-124,26,-3375
-124,27,-3375
-124,28,-3631
-124,29,-3631
-124,30,-3631
-124,31,-3631
-124,32,-4374
-124,33,-4374
-124,34,-4374
-124,35,-4374
-124,36,-4630
-124,37,-4630
-124,38,-4630
-124,39,-4630
-124,40,-5399
-124,41,-5399
-124,42,-5399
-124,43,-5399
-124,44,-5655
-124,45,-5655
-124,46,-5655
-124,47,-5655
-124,48,-6461
-124,49,-6461
-124,50,-6461
-124,51,-6461
-124,52,-6717
-124,53,-6717
-124,54,-6717
-124,55,-6717
-124,56,-7487
-124,57,-7487
-124,58,-7487
-124,59,-7487
-124,60,-7743
-124,61,-7743
-124,62,-7743
-124,63,-7743
-124,64,-7973
-124,65,-7973
-124,66,-7973
-124,67,-7973
-124,68,-8197
-124,69,-8197
-124,70,-8197
-124,71,-8197
-124,72,-8967
-124,73,-8967
-124,74,-8967
-124,75,-8967
-124,76,-9223
-124,77,-9223
-124,78,-9223
-124,79,-9223
-124,80,-9997
-124,81,-9997
-124,82,-9997
-124,83,-9997
-124,84,-10285
-124,85,-10285
-124,86,-10285
-124,87,-10285
-124,88,-11056
-124,89,-11056
-124,90,-11056
-124,91,-11056
-124,92,-11312
-124,93,-11312
-124,94,-11312
-124,95,-11312
-124,96,-12085
-124,97,-12085
-124,98,-12085
-124,99,-12085
-124,100,-12309
-124,101,-12309
-124,102,-12309
-124,103,-12309
-124,104,-13080
-124,105,-13080
-124,106,-13080
-124,107,-13080
-124,108,-13336
-124,109,-13336
-124,110,-13336
-124,111,-13336
-124,112,-14110
-124,113,-14110
-124,114,-14110
-124,115,-14110
-124,116,-14398
-124,117,-14398
-124,118,-14398
-124,119,-14398
-124,120,-15168
-124,121,-15168
-124,122,-15168
-124,123,-15168
-124,124,-15424
-124,125,-15424
-124,126,-15424
-124,127,-15424
-123,-128,15615
-123,-127,15615
-123,-126,15615
-123,-125,15615
-123,-124,15359
-123,-123,15359
