,n_embd,n_head,block_size,n_layer,mlp_expansion_factor,n_cols,MAC NUM,Wmem Depth,Cache Depth,best_val_loss,perplexity,Power (W),Area (um^2),Clock Period (ns) Entered,Clock_Min_Period,F_max (MHz),Clock Slack (ns),TTFT (ms),TPOT (ms),Throughput (tokens/s),Energy per token (mJ/token),EDP (mJ * ms),EADP (mJ * ms * um^2)
4653,512.0,16.0,512.0,14.0,8.0,1,32,2048,1024,3.63187,37.783405564351284,2.368,219687601.408,3,5.689,175.77781683951486,-2.988,303.39391488000007,476.56768170666663,2.098337840322778,1128.5122702813865,3.423837556707866e-07,75.21746604437783
4654,512.0,16.0,512.0,14.0,8.0,2,8,4096,2048,3.63187,37.783405564351284,2.2496,219234626.9696,3,3.979,251.31942699170645,-1.188,410.7091968000001,342.06752085333335,2.9233994432016397,769.5150949116587,3.1604692655664315e-07,69.28843004853422
4655,512.0,16.0,512.0,14.0,8.0,2,16,2048,1024,3.63187,37.783405564351284,2.6816,221248118.0672,3,3.821,261.7115938236064,-1.022,204.9909100088889,320.08527189333336,3.1241674885098885,858.3406651091626,1.7595203403836223e-07,38.929056401083564
4656,512.0,16.0,512.0,14.0,8.0,4,4,4096,2048,3.63187,37.783405564351284,2.8352,222223933.952,3,4.091,244.4390124663896,-1.307,427.4829539555555,351.6959607466667,2.8433650414322473,997.1283879089494,4.262553887362588e-07,94.72414935321045
4657,512.0,16.0,512.0,14.0,8.0,4,8,2048,1024,3.63187,37.783405564351284,3.3152,224403704.5248,3,3.779,264.6202699126753,-0.978,205.14548394666667,316.56693077333335,3.1588896463604876,1049.4826888997547,2.1529663410798923e-07,48.313362265553195
4658,512.0,16.0,512.0,14.0,8.0,8,4,2048,1024,3.63187,37.783405564351284,4.4928,230251793.3056,3,4.072,245.5795677799607,-1.286,226.24017521777782,341.1115485866667,2.9315923314332717,1532.545965490176,3.4672346776179586e-07,79.83370023328987
4659,512.0,16.0,512.0,14.0,8.0,1,16,4096,2048,3.63187,37.783405564351284,1.4544,217709684.4288,4,5.967,167.58840288252054,-2.281,612.1070592,512.9723289599999,1.9494228899781008,746.0669552394238,4.5667284993790167e-07,99.42210204718131
4660,512.0,16.0,512.0,14.0,8.0,1,32,2048,1024,3.63187,37.783405564351284,1.776,219687601.408,4,5.879,170.0969552645008,-2.188,313.52659967999995,492.4839867733333,2.0305228735492915,874.65156050944,2.742265296713304e-07,60.24416854593432
4661,512.0,16.0,512.0,14.0,8.0,2,8,4096,2048,3.63187,37.783405564351284,1.696,219234626.9696,4,4.13,242.13075060532688,-0.347,426.29529600000006,355.0487210666667,2.816514863074897,602.1626309290666,2.566990969920452e-07,56.2773307724842
4662,512.0,16.0,512.0,14.0,8.0,2,16,2048,1024,3.63187,37.783405564351284,2.016,221248118.0672,4,3.87,258.39793281653743,-0.074,207.6196864,324.19000320000004,3.0846108458905124,653.5670464512,1.3569338522557238e-07,30.021906115325493
4663,512.0,16.0,512.0,14.0,8.0,4,4,4096,2048,3.63187,37.783405564351284,2.1376,222223933.952,4,4.091,244.4390124663896,-0.307,427.4829539555555,351.6959607466667,2.8433650414322473,751.7852856920747,3.213753946679693e-07,71.41730447849274
4664,512.0,16.0,512.0,14.0,8.0,4,8,2048,1024,3.63187,37.783405564351284,2.496,224403704.5248,4,3.779,264.6202699126753,0.022,205.14548394666667,316.56693077333335,3.1588896463604876,790.1510592102401,1.62095921432656e-07,36.37492525784893
4665,512.0,16.0,512.0,14.0,8.0,8,4,2048,1024,3.63187,37.783405564351284,3.3792,230251793.3056,4,4.072,245.5795677799607,-0.286,226.24017521777782,341.1115485866667,2.9315923314332717,1152.6841449840642,2.6078346293194905e-07,60.04586000452573
4666,512.0,16.0,512.0,14.0,8.0,1,16,4096,2048,3.63187,37.783405564351284,1.1696,217709684.4288,5,6.157,162.41676140977748,-1.481,631.5976476444445,529.3062894933333,1.8892652890205173,619.0766361914026,3.9100734713012545e-07,85.12608615304187
4667,512.0,16.0,512.0,14.0,8.0,1,32,2048,1024,3.63187,37.783405564351284,1.4288,219687601.408,5,6.069,164.77179106936893,-1.388,323.65928448000005,508.40029184,1.966954024319704,726.4023369809921,2.3510686063186777e-07,51.65006228677997
4668,512.0,16.0,512.0,14.0,8.0,2,8,4096,2048,3.63187,37.783405564351284,1.3632,219234626.9696,5,4.32,231.48148148148147,0.453,445.90694399999995,371.38268160000007,2.6926403667822507,506.26887155712006,2.2574880535836394e-07,49.491955131573754
4669,512.0,16.0,512.0,14.0,8.0,2,16,2048,1024,3.63187,37.783405564351284,1.6192,221248118.0672,5,4.06,246.30541871921184,0.726,217.8129009777778,340.10630826666664,2.9402571363537646,550.7001343453867,1.1994959383062064e-07,26.53862189794984
4670,512.0,16.0,512.0,14.0,8.0,4,4,4096,2048,3.63187,37.783405564351284,1.7152,222223933.952,5,4.091,244.4390124663896,0.693,427.4829539555555,351.6959607466667,2.8433650414322473,603.2289118726828,2.578700771587299e-07,57.30490299471873
4671,512.0,16.0,512.0,14.0,8.0,4,8,2048,1024,3.63187,37.783405564351284,2.0032,224403704.5248,5,3.779,264.6202699126753,1.022,205.14548394666667,316.56693077333335,3.1588896463604876,634.1468757251414,1.3009236771390081e-07,29.193209245401828
4672,512.0,16.0,512.0,14.0,8.0,8,4,2048,1024,3.63187,37.783405564351284,2.7008,230251793.3056,5,4.072,245.5795677799607,0.714,226.24017521777782,341.1115485866667,2.9315923314332717,921.2740704228695,2.0842920711606535e-07,47.99119871573837
4673,512.0,16.0,512.0,14.0,8.0,1,16,4096,2048,3.63187,37.783405564351284,0.9792,217709684.4288,6,6.347,157.5547502757208,-0.681,651.0882360888888,545.6402500266669,1.832709372065436,534.2909328261122,3.4787054101204037e-07,75.73478570580723
4674,512.0,16.0,512.0,14.0,8.0,1,32,2048,1024,3.63187,37.783405564351284,1.1952,219687601.408,6,6.259,159.76993129892952,-0.588,333.79196928000005,524.3165969066667,1.9072446035462984,626.6631966228481,2.0917514247604033e-07,45.95318532473796
4675,512.0,16.0,512.0,14.0,8.0,2,8,4096,2048,3.63187,37.783405564351284,1.1392,219234626.9696,6,4.51,221.72949002217297,1.253,465.51859199999996,387.7166421333333,2.5792031894676994,441.68679871829335,2.0561341664432733e-07,45.077580697964045
4676,512.0,16.0,512.0,14.0,8.0,2,16,2048,1024,3.63187,37.783405564351284,1.3536,221248118.0672,6,4.25,235.2941176470588,1.526,228.00611555555557,356.02261333333337,2.8088103467285372,481.912209408,1.0987893090591354e-07,24.310506678169272
4677,512.0,16.0,512.0,14.0,8.0,4,4,4096,2048,3.63187,37.783405564351284,1.4336,222223933.952,6,4.091,244.4390124663896,1.693,427.4829539555555,351.6959607466667,2.8433650414322473,504.1913293264214,2.1553319881923693e-07,47.89663533886939
4678,512.0,16.0,512.0,14.0,8.0,4,8,2048,1024,3.63187,37.783405564351284,1.6704,224403704.5248,6,3.908,255.88536335721597,1.886,212.1483332266667,327.3732642133334,3.0546171887400924,546.8443005419522,1.1601210689447753e-07,26.03354655684785
4679,512.0,16.0,512.0,14.0,8.0,8,4,2048,1024,3.63187,37.783405564351284,2.2528,230251793.3056,6,4.072,245.5795677799607,1.714,226.24017521777782,341.1115485866667,2.9315923314332717,768.4560966560429,1.7385564195463275e-07,40.0305733363505
4680,512.0,2.0,512.0,35.0,2.0,4,32,4096,2048,3.680488,39.66574623442345,1.768,216895763.8144,3,10.034,99.66115208291806,-7.562,1332.9861290666672,924.2196992,1.0819938169091126,1634.0204281856002,2.178126565382981e-06,472.42642508317726
