Trial Number,Iteration Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,MAC NUM,Total Period (ns),ABC Max Fanout,ABC Map Effort,SYNTH_HIERARCHICAL,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1045,52,4,4.125,-0.343,-0.343,4096,1536,8,3.782,40,0.5,False,0.0506,6295016.4808,25145,2372,22773,0.025,4.85e-06,3e-08,0.025,3.45e-05,7.28e-05,4.39e-08,0.000107,25636,26314,3262,3940,25145,6295016.4808,0,0,0,31
1046,53,5,4.315,0.457,0.457,4096,1536,8,4.772,40,0.5,False,0.0407,6295016.4808,25145,2372,22773,0.02,3.88e-06,3e-08,0.02,2.76e-05,5.82e-05,4.39e-08,8.58e-05,25636,26314,3262,3940,25145,6295016.4808,0,0,0,32
1047,54,6,4.505,1.257,1.257,4096,1536,8,5.762,40,0.5,False,0.034,6295016.4808,25145,2372,22773,0.0167,3.24e-06,3e-08,0.0167,2.3e-05,4.85e-05,4.39e-08,7.15e-05,25636,26314,3262,3940,25145,6295016.4808,0,0,0,31
1048,55,3,5.76,-3.063,-3.063,4096,1536,16,2.6969999999999996,40,0.5,False,0.114,12490887.8736,35489,3345,32144,0.0469,9.47e-06,4.08e-08,0.0469,5.69e-05,0.000126,5.91e-08,0.000183,36470,37532,5005,6067,35489,12490887.8736,0,0,0,43
1049,56,4,5.95,-2.263,-2.263,4096,1536,16,3.6870000000000003,40,0.5,False,0.0863,12490887.8736,35489,3345,32144,0.0351,7.1e-06,4.08e-08,0.0351,4.26e-05,9.44e-05,5.91e-08,0.000137,36470,37532,5005,6067,35489,12490887.8736,0,0,0,43
105,57,4,3.847,-0.049,-0.049,2048,128,16,3.798,40,0.5,False,0.0566,5036345.04,34863,3483,31380,0.0366,7.09e-06,4.28e-08,0.0366,4.17e-05,8.67e-05,5.68e-08,0.000128,35100,36162,4373,5435,34863,5036345.04,0,0,0,41
1050,58,5,6.14,-1.463,-1.463,4096,1536,16,4.677,40,0.5,False,0.0694,12490887.8736,35489,3345,32144,0.0281,5.68e-06,4.08e-08,0.0281,3.41e-05,7.55e-05,5.91e-08,0.00011,36470,37532,5005,6067,35489,12490887.8736,0,0,0,43
1051,59,6,6.33,-0.663,-0.663,4096,1536,16,5.667,40,0.5,False,0.0581,12490887.8736,35489,3345,32144,0.0234,4.74e-06,4.08e-08,0.0234,2.84e-05,6.29e-05,5.91e-08,9.14e-05,36470,37532,5005,6067,35489,12490887.8736,0,0,0,44
1052,60,3,9.992,-7.518,-7.518,4096,1536,32,2.474000000000001,40,0.5,False,0.209,24882713.2384,55931,5289,50642,0.0737,1.4e-05,6.23e-08,0.0738,8.14e-05,0.000183,8.5e-08,0.000265,57892,59722,8487,10317,55931,24882713.2384,0,0,0,70
1053,61,4,10.182,-6.718,-6.718,4096,1536,32,3.4640000000000004,40,0.5,False,0.158,24882713.2384,55931,5289,50642,0.0553,1.05e-05,6.23e-08,0.0553,6.1e-05,0.000138,8.5e-08,0.000199,57892,59722,8487,10317,55931,24882713.2384,0,0,0,68
1054,62,5,10.372,-5.918,-5.918,4096,1536,32,4.454,40,0.5,False,0.127,24882713.2384,55931,5289,50642,0.0442,8.43e-06,6.23e-08,0.0443,4.88e-05,0.00011,8.5e-08,0.000159,57892,59722,8487,10317,55931,24882713.2384,0,0,0,69
1055,63,6,10.562,-5.118,-5.118,4096,1536,32,5.443999999999999,40,0.5,False,0.106,24882713.2384,55931,5289,50642,0.0369,7.02e-06,6.23e-08,0.0369,4.07e-05,9.17e-05,8.5e-08,0.000132,57892,59722,8487,10317,55931,24882713.2384,0,0,0,69
1056,64,3,3.985,-1.195,-1.195,128,1536,4,2.79,40,0.5,False,0.031,1050440.314,19212,1825,17387,0.0258,5.19e-06,2.38e-08,0.0258,3.93e-05,7.81e-05,3.66e-08,0.000117,19241,19727,2088,2574,19212,1050440.314,0,0,0,24
1057,65,4,4.096,-0.312,-0.312,128,2048,4,3.7840000000000003,40,0.5,False,0.0244,1328484.3808,19146,1825,17321,0.0193,3.88e-06,2.38e-08,0.0193,2.93e-05,5.8e-05,3.64e-08,8.73e-05,19206,19692,2122,2608,19146,1328484.3808,0,0,0,25
1058,66,5,4.096,0.688,0.688,128,2048,4,4.784,40,0.5,False,0.0196,1328484.3808,19146,1825,17321,0.0155,3.1e-06,2.38e-08,0.0155,2.34e-05,4.64e-05,3.64e-08,6.98e-05,19206,19692,2122,2608,19146,1328484.3808,0,0,0,25
1059,67,6,4.096,1.688,1.688,128,2048,4,5.784,40,0.5,False,0.0163,1328484.3808,19146,1825,17321,0.0129,2.59e-06,2.38e-08,0.0129,1.95e-05,3.87e-05,3.64e-08,5.82e-05,19206,19692,2122,2608,19146,1328484.3808,0,0,0,24
106,68,5,3.847,0.951,0.951,2048,128,16,4.798,40,0.5,False,0.0454,5036345.04,34863,3483,31380,0.0293,5.67e-06,4.28e-08,0.0293,3.34e-05,6.94e-05,5.68e-08,0.000103,35100,36162,4373,5435,34863,5036345.04,0,0,0,38
1060,69,3,4.06,-1.274,-1.274,128,2048,8,2.7859999999999996,40,0.5,False,0.0467,2563494.112,24351,2368,21983,0.0333,6.73e-06,3e-08,0.0333,4.4e-05,8.97e-05,4.29e-08,0.000134,24470,25148,2859,3537,24351,2563494.112,0,0,0,30
1061,70,4,4.06,-0.274,-0.274,128,2048,8,3.7859999999999996,40,0.5,False,0.0351,2563494.112,24351,2368,21983,0.025,5.05e-06,3e-08,0.025,3.3e-05,6.73e-05,4.29e-08,0.0001,24470,25148,2859,3537,24351,2563494.112,0,0,0,30
1062,71,5,4.06,0.726,0.726,128,2048,8,4.786,40,0.5,False,0.0281,2563494.112,24351,2368,21983,0.02,4.04e-06,3e-08,0.02,2.64e-05,5.38e-05,4.29e-08,8.03e-05,24470,25148,2859,3537,24351,2563494.112,0,0,0,30
1063,72,6,4.06,1.726,1.726,128,2048,8,5.786,40,0.5,False,0.0235,2563494.112,24351,2368,21983,0.0167,3.36e-06,3e-08,0.0167,2.2e-05,4.49e-05,4.29e-08,6.69e-05,24470,25148,2859,3537,24351,2563494.112,0,0,0,29
1064,73,3,3.789,-0.988,-0.988,128,2048,16,2.801,40,0.5,False,0.0734,5032049.6704,34617,3341,31276,0.0468,9.12e-06,4.07e-08,0.0468,5.52e-05,0.000115,5.72e-08,0.00017,34854,35916,4218,5280,34617,5032049.6704,0,0,0,40
1065,74,4,3.789,0.012,0.012,128,2048,16,3.801,40,0.5,False,0.0552,5032049.6704,34617,3341,31276,0.0351,6.84e-06,4.07e-08,0.0351,4.14e-05,8.61e-05,5.72e-08,0.000128,34854,35916,4218,5280,34617,5032049.6704,0,0,0,40
1066,75,5,3.789,1.012,1.012,128,2048,16,4.801,40,0.5,False,0.0443,5032049.6704,34617,3341,31276,0.0281,5.47e-06,4.07e-08,0.0281,3.31e-05,6.89e-05,5.72e-08,0.000102,34854,35916,4218,5280,34617,5032049.6704,0,0,0,41
1067,76,6,3.789,2.012,2.012,128,2048,16,5.801,40,0.5,False,0.037,5032049.6704,34617,3341,31276,0.0234,4.56e-06,4.07e-08,0.0234,2.76e-05,5.74e-05,5.72e-08,8.51e-05,34854,35916,4218,5280,34617,5032049.6704,0,0,0,40
1068,77,3,5.279,-2.557,-2.557,128,2048,32,2.722,40,0.5,False,0.127,9962337.9936,53890,5285,48605,0.0737,1.4e-05,6.23e-08,0.0737,7.54e-05,0.000161,8.2e-08,0.000236,54363,56193,6932,8762,53890,9962337.9936,0,0,0,62
1069,78,4,5.279,-1.557,-1.557,128,2048,32,3.722,40,0.5,False,0.0953,9962337.9936,53890,5285,48605,0.0553,1.05e-05,6.23e-08,0.0553,5.65e-05,0.00012,8.2e-08,0.000177,54363,56193,6932,8762,53890,9962337.9936,0,0,0,64
107,79,6,3.98,1.811,1.811,2048,128,16,5.791,40,0.5,False,0.038,5036345.04,34863,3483,31380,0.0244,4.73e-06,4.28e-08,0.0244,2.78e-05,5.78e-05,5.68e-08,8.57e-05,35100,36162,4373,5435,34863,5036345.04,0,0,0,39
1070,80,5,5.279,-0.557,-0.557,128,2048,32,4.7219999999999995,40,0.5,False,0.0765,9962337.9936,53890,5285,48605,0.0442,8.42e-06,6.23e-08,0.0442,4.52e-05,9.64e-05,8.2e-08,0.000142,54363,56193,6932,8762,53890,9962337.9936,0,0,0,63
1071,81,6,5.279,0.443,0.443,128,2048,32,5.7219999999999995,40,0.5,False,0.064,9962337.9936,53890,5285,48605,0.0368,7.02e-06,6.23e-08,0.0369,3.77e-05,8.03e-05,8.2e-08,0.000118,54363,56193,6932,8762,53890,9962337.9936,0,0,0,64
1072,82,3,4.237,-1.46,-1.46,256,2048,4,2.777,40,0.5,False,0.033,1413803.1152,19176,1825,17351,0.0258,4.98e-06,2.38e-08,0.0258,3.81e-05,7.61e-05,3.59e-08,0.000114,19267,19753,2157,2643,19176,1413803.1152,0,0,0,25
1073,83,4,4.237,-0.46,-0.46,256,2048,4,3.777,40,0.5,False,0.0248,1413803.1152,19176,1825,17351,0.0193,3.73e-06,2.38e-08,0.0193,2.86e-05,5.71e-05,3.59e-08,8.57e-05,19267,19753,2157,2643,19176,1413803.1152,0,0,0,25
1074,84,5,4.237,0.54,0.54,256,2048,4,4.777,40,0.5,False,0.0199,1413803.1152,19176,1825,17351,0.0155,2.99e-06,2.38e-08,0.0155,2.29e-05,4.57e-05,3.59e-08,6.86e-05,19267,19753,2157,2643,19176,1413803.1152,0,0,0,23
1075,85,6,4.237,1.54,1.54,256,2048,4,5.777,40,0.5,False,0.0166,1413803.1152,19176,1825,17351,0.0129,2.49e-06,2.38e-08,0.0129,1.91e-05,3.8e-05,3.59e-08,5.72e-05,19267,19753,2157,2643,19176,1413803.1152,0,0,0,25
