A,B,OUT
-124,-37,4615
-124,-36,4487
-124,-35,4359
-124,-34,4231
-124,-33,4103
-124,-32,4047
-124,-31,3919
-124,-30,3791
-124,-29,3663
-124,-28,3535
-124,-27,3407
-124,-26,3279
-124,-25,3151
-124,-24,3023
-124,-23,2895
-124,-22,2767
-124,-21,2639
-124,-20,2511
-124,-19,2383
-124,-18,2255
-124,-17,2127
-124,-16,2063
-124,-15,1935
-124,-14,1807
-124,-13,1679
-124,-12,1551
-124,-11,1423
-124,-10,1295
-124,-9,1167
-124,-8,1039
-124,-7,911
-124,-6,783
-124,-5,655
-124,-4,527
-124,-3,399
-124,-2,271
-124,-1,143
-124,0,71
-124,1,-57
-124,2,-185
-124,3,-313
-124,4,-441
-124,5,-569
-124,6,-697
-124,7,-825
-124,8,-953
-124,9,-1081
-124,10,-1209
-124,11,-1337
-124,12,-1465
-124,13,-1593
-124,14,-1721
-124,15,-1849
-124,16,-1913
-124,17,-2041
-124,18,-2169
-124,19,-2297
-124,20,-2425
-124,21,-2553
-124,22,-2681
-124,23,-2809
-124,24,-2937
-124,25,-3065
-124,26,-3193
-124,27,-3321
-124,28,-3449
-124,29,-3577
-124,30,-3705
-124,31,-3833
-124,32,-3889
-124,33,-4017
-124,34,-4145
-124,35,-4273
-124,36,-4401
-124,37,-4529
-124,38,-4657
-124,39,-4785
-124,40,-4913
-124,41,-5041
-124,42,-5169
-124,43,-5297
-124,44,-5425
-124,45,-5553
-124,46,-5681
-124,47,-5809
-124,48,-5873
-124,49,-6001
-124,50,-6129
-124,51,-6257
-124,52,-6385
-124,53,-6513
-124,54,-6641
-124,55,-6769
-124,56,-6897
-124,57,-7025
-124,58,-7153
-124,59,-7281
-124,60,-7409
-124,61,-7537
-124,62,-7665
-124,63,-7793
-124,64,-7865
-124,65,-7993
-124,66,-8121
-124,67,-8249
-124,68,-8377
-124,69,-8505
-124,70,-8633
-124,71,-8761
-124,72,-8889
-124,73,-9017
-124,74,-9145
-124,75,-9273
-124,76,-9401
-124,77,-9529
-124,78,-9657
-124,79,-9785
-124,80,-9849
-124,81,-9977
-124,82,-10105
-124,83,-10233
-124,84,-10361
-124,85,-10489
-124,86,-10617
-124,87,-10745
-124,88,-10873
-124,89,-11001
-124,90,-11129
-124,91,-11257
-124,92,-11385
-124,93,-11513
-124,94,-11641
-124,95,-11769
-124,96,-11825
-124,97,-11953
-124,98,-12081
-124,99,-12209
-124,100,-12337
-124,101,-12465
-124,102,-12593
-124,103,-12721
-124,104,-12849
-124,105,-12977
-124,106,-13105
-124,107,-13233
-124,108,-13361
-124,109,-13489
-124,110,-13617
-124,111,-13745
-124,112,-13809
-124,113,-13937
-124,114,-14065
-124,115,-14193
-124,116,-14321
-124,117,-14449
-124,118,-14577
-124,119,-14705
-124,120,-14833
-124,121,-14961
-124,122,-15089
-124,123,-15217
-124,124,-15345
-124,125,-15473
-124,126,-15601
-124,127,-15729
-123,-128,15815
-123,-127,15687
-123,-126,15559
-123,-125,15431
-123,-124,15303
-123,-123,15175
-123,-122,15047
-123,-121,14919
-123,-120,14791
-123,-119,14663
-123,-118,14535
-123,-117,14407
-123,-116,14279
-123,-115,14151
-123,-114,14023
-123,-113,13895
-123,-112,13831
-123,-111,13703
-123,-110,13575
-123,-109,13447
-123,-108,13319
-123,-107,13191
-123,-106,13063
-123,-105,12935
-123,-104,12807
-123,-103,12679
-123,-102,12551
-123,-101,12423
-123,-100,12295
-123,-99,12167
-123,-98,12039
-123,-97,11911
-123,-96,11855
-123,-95,11727
-123,-94,11599
-123,-93,11471
-123,-92,11343
-123,-91,11215
-123,-90,11087
-123,-89,10959
-123,-88,10831
-123,-87,10703
-123,-86,10575
-123,-85,10447
-123,-84,10319
-123,-83,10191
-123,-82,10063
-123,-81,9935
-123,-80,9871
-123,-79,9743
-123,-78,9615
-123,-77,9487
-123,-76,9359
-123,-75,9231
-123,-74,9103
-123,-73,8975
-123,-72,8847
-123,-71,8719
-123,-70,8591
-123,-69,8463
-123,-68,8335
-123,-67,8207
-123,-66,8079
-123,-65,7951
-123,-64,7943
-123,-63,7815
-123,-62,7687
-123,-61,7559
-123,-60,7431
-123,-59,7303
-123,-58,7175
-123,-57,7047
-123,-56,6919
-123,-55,6791
-123,-54,6663
-123,-53,6535
-123,-52,6407
-123,-51,6279
-123,-50,6151
-123,-49,6023
-123,-48,5959
-123,-47,5831
-123,-46,5703
-123,-45,5575
-123,-44,5447
-123,-43,5319
-123,-42,5191
-123,-41,5063
-123,-40,4935
-123,-39,4807
-123,-38,4679
-123,-37,4551
-123,-36,4423
-123,-35,4295
-123,-34,4167
-123,-33,4039
-123,-32,3983
-123,-31,3855
-123,-30,3727
-123,-29,3599
-123,-28,3471
-123,-27,3343
-123,-26,3215
-123,-25,3087
-123,-24,2959
-123,-23,2831
-123,-22,2703
-123,-21,2575
-123,-20,2447
-123,-19,2319
-123,-18,2191
-123,-17,2063
-123,-16,1999
-123,-15,1871
-123,-14,1743
-123,-13,1615
-123,-12,1487
-123,-11,1359
-123,-10,1231
-123,-9,1103
-123,-8,975
-123,-7,847
-123,-6,719
-123,-5,591
-123,-4,463
-123,-3,335
-123,-2,207
-123,-1,79
-123,0,71
-123,1,-57
-123,2,-185
-123,3,-313
-123,4,-441
-123,5,-569
-123,6,-697
-123,7,-825
-123,8,-953
-123,9,-1081
-123,10,-1209
-123,11,-1337
-123,12,-1465
-123,13,-1593
-123,14,-1721
-123,15,-1849
-123,16,-1913
-123,17,-2041
-123,18,-2169
-123,19,-2297
-123,20,-2425
-123,21,-2553
-123,22,-2681
-123,23,-2809
-123,24,-2937
-123,25,-3065
-123,26,-3193
-123,27,-3321
-123,28,-3449
-123,29,-3577
-123,30,-3705
-123,31,-3833
-123,32,-3889
-123,33,-4017
-123,34,-4145
-123,35,-4273
-123,36,-4401
-123,37,-4529
-123,38,-4657
-123,39,-4785
-123,40,-4913
-123,41,-5041
-123,42,-5169
-123,43,-5297
-123,44,-5425
-123,45,-5553
-123,46,-5681
-123,47,-5809
-123,48,-5873
-123,49,-6001
-123,50,-6129
-123,51,-6257
-123,52,-6385
-123,53,-6513
-123,54,-6641
-123,55,-6769
-123,56,-6897
-123,57,-7025
-123,58,-7153
-123,59,-7281
-123,60,-7409
-123,61,-7537
-123,62,-7665
-123,63,-7793
-123,64,-7801
-123,65,-7929
-123,66,-8057
-123,67,-8185
-123,68,-8313
-123,69,-8441
-123,70,-8569
-123,71,-8697
-123,72,-8825
-123,73,-8953
-123,74,-9081
-123,75,-9209
